ParkName,Rank,Value,PercentOfTotal
Great Smoky Mountains NP,1,"9,354,695",13.84%
Grand Canyon NP,2,"4,564,840",6.76%
Yosemite NP,3,"3,691,191",5.46%
Yellowstone NP,4,"3,188,030",4.72%
Olympic NP,5,"3,085,340",4.57%
Rocky Mountain NP,6,"2,991,141",4.43%
Zion NP,7,"2,807,387",4.15%
Grand Teton NP,8,"2,688,794",3.98%
Gateway Arch NP,9,"2,377,258",3.52%
Acadia NP,10,"2,254,922",3.34%
Glacier NP,11,"2,190,374",3.24%
Cuyahoga Valley NP,12,"2,103,010",3.11%
Indiana Dunes NP,13,"1,681,695",2.49%
Hawaii Volcanoes NP,14,"1,583,209",2.34%
Joshua Tree NP,15,"1,383,340",2.05%
Hot Springs NP,16,"1,325,719",1.96%
Bryce Canyon NP,17,"1,311,875",1.94%
Mount Rainier NP,18,"1,148,552",1.70%
Shenandoah NP,19,"1,136,505",1.68%
Arches NP,20,"1,082,866",1.60%
Everglades NP,21,"1,047,116",1.55%
Death Valley NP,22,"951,972",1.41%
Sequoia NP,23,"909,274",1.35%
Badlands NP,24,"892,372",1.32%
Haleakala NP,25,"785,300",1.16%
Saguaro NP,26,"678,261",1.00%
Capitol Reef NP,27,"663,670",0.98%
Petrified Forest NP,28,"644,648",0.95%
Kings Canyon NP,29,"567,544",0.84%
Theodore Roosevelt NP,30,"545,090",0.81%
Denali NP & PRES,31,"530,922",0.79%
Crater Lake NP,32,"523,027",0.77%
Wind Cave NP,33,"516,142",0.76%
Glacier Bay NP & PRES,34,"500,590",0.74%
Mammoth Cave NP,35,"494,541",0.73%
Biscayne NP,36,"486,848",0.72%
Canyonlands NP,37,"462,242",0.68%
Mesa Verde NP,38,"460,237",0.68%
Virgin Islands NP,39,"438,601",0.65%
Lassen Volcanic NP,40,"427,409",0.63%
Redwood NP,41,"393,364",0.58%
Carlsbad Caverns NP,42,"388,566",0.58%
Big Bend NP,43,"316,953",0.47%
Kenai Fjords NP,44,"283,502",0.42%
Great Sand Dunes NP & PRES,45,"242,841",0.36%
Pinnacles NP,46,"237,677",0.35%
Voyageurs NP,47,"233,390",0.35%
Channel Islands NP,48,"212,029",0.31%
Black Canyon of the Gunnison NP,49,"175,852",0.26%
Guadalupe Mountains NP,50,"145,670",0.22%
Congaree NP,51,"120,340",0.18%
Great Basin NP,52,"92,893",0.14%
Wrangell-St. Elias NP & PRES,53,"69,984",0.10%
Dry Tortugas NP,54,"58,401",0.09%
Katmai NP & PRES,55,"28,966",0.04%
North Cascades NP,56,"21,623",0.03%
National Park of American Samoa,57,"17,919",0.03%
Kobuk Valley NP,58,"16,875",0.02%
Isle Royale NP,59,"16,274",0.02%
Lake Clark NP & PRES,60,"13,000",0.02%
Gates of the Arctic NP & PRES,61,"11,012",0.02%
